feature_1,true_label,predicted_label,predicted_probability,case_description
1.86,0,0,0.10,perfect_predictions
2.22,1,1,0.90,perfect_predictions
3.20,0,0,0.10,perfect_predictions
7.14,1,1,0.90,perfect_predictions
4.95,0,0,0.10,perfect_predictions
5.71,1,1,0.90,perfect_predictions
6.13,0,0,0.10,perfect_predictions
0.45,1,1,0.90,perfect_predictions
3.81,0,0,0.10,perfect_predictions
9.00,1,1,0.90,perfect_predictions
1.16,0,0,0.10,perfect_predictions
2.90,1,1,0.90,perfect_predictions
9.04,0,0,0.10,perfect_predictions
6.60,1,1,0.90,perfect_predictions
9.15,0,0,0.10,perfect_predictions
3.31,1,1,0.90,perfect_predictions
1.77,0,0,0.10,perfect_predictions
3.90,1,1,0.90,perfect_predictions
2.28,0,0,0.10,perfect_predictions
9.18,1,1,0.90,perfect_predictions
4.02,0,0,0.1,all_predict_negative
1.56,1,0,0.1,all_predict_negative
5.99,0,0,0.1,all_predict_negative
6.22,1,0,0.1,all_predict_negative
2.58,0,0,0.1,all_predict_negative
9.22,1,0,0.1,all_predict_negative
6.80,0,0,0.1,all_predict_negative
7.10,1,0,0.1,all_predict_negative
9.02,0,0,0.1,all_predict_negative
3.10,1,0,0.1,all_predict_negative
9.40,0,0,0.1,all_predict_negative
6.53,1,0,0.1,all_predict_negative
9.14,0,0,0.1,all_predict_negative
4.09,1,0,0.1,all_predict_negative
0.10,0,0,0.1,all_predict_negative
8.24,1,0,0.1,all_predict_negative
3.77,0,0,0.1,all_predict_negative
8.43,1,0,0.1,all_predict_negative
1.89,0,0,0.1,all_predict_negative
7.79,1,0,0.1,all_predict_negative
2.53,0,1,0.90,all_wrong
0.10,1,0,0.10,all_wrong
6.93,0,1,0.90,all_wrong
0.42,1,0,0.10,all_wrong
7.67,0,1,0.90,all_wrong
1.29,1,0,0.10,all_wrong
6.89,0,1,0.90,all_wrong
0.71,1,0,0.10,all_wrong
1.14,0,1,0.90,all_wrong
1.59,1,0,0.10,all_wrong
7.91,0,1,0.90,all_wrong
0.67,1,0,0.10,all_wrong
5.37,0,1,0.90,all_wrong
1.67,1,0,0.10,all_wrong
7.40,0,1,0.90,all_wrong
9.55,1,0,0.10,all_wrong
7.15,0,1,0.90,all_wrong
6.95,1,0,0.10,all_wrong
2.85,0,1,0.90,all_wrong
2.86,1,0,0.10,all_wrong